trial=0
,min,max,avg
gen=7,60.000000,69.000000,64.080000
gen=8,61.000000,69.000000,65.680000
gen=9,61.000000,71.000000,66.780000
gen=10,63.000000,71.000000,68.000000
gen=11,65.000000,72.000000,68.920000
gen=12,65.000000,72.000000,69.600000
gen=13,65.000000,72.000000,70.000000
gen=14,68.000000,74.000000,71.120000
gen=15,70.000000,76.000000,72.080000
gen=16,71.000000,76.000000,72.760000
gen=17,71.000000,77.000000,73.660000
gen=18,72.000000,77.000000,74.520000
gen=19,72.000000,77.000000,74.960000
gen=20,73.000000,80.000000,75.720000
gen=21,74.000000,81.000000,76.540000
gen=22,75.000000,81.000000,77.580000
gen=23,77.000000,81.000000,78.520000
gen=24,77.000000,81.000000,79.100000
gen=25,77.000000,82.000000,79.900000
gen=26,78.000000,83.000000,80.540000
gen=27,79.000000,83.000000,80.900000
gen=28,79.000000,83.000000,81.140000
gen=29,79.000000,83.000000,81.600000
gen=30,81.000000,83.000000,82.000000
gen=31,81.000000,84.000000,82.300000
gen=32,81.000000,85.000000,82.720000
gen=33,82.000000,85.000000,83.120000
gen=34,82.000000,85.000000,83.360000
gen=35,83.000000,85.000000,83.620000
gen=36,83.000000,86.000000,84.060000
gen=37,83.000000,86.000000,84.320000
gen=38,83.000000,86.000000,84.500000
gen=39,83.000000,86.000000,84.580000
gen=40,83.000000,87.000000,84.940000
gen=41,84.000000,87.000000,85.420000
gen=42,85.000000,87.000000,85.900000
gen=43,85.000000,88.000000,86.340000
gen=44,85.000000,88.000000,86.780000
gen=45,86.000000,88.000000,87.300000
gen=46,87.000000,88.000000,87.560000
gen=47,87.000000,89.000000,87.780000
gen=48,87.000000,89.000000,87.840000
gen=49,87.000000,89.000000,88.020000
gen=50,88.000000,89.000000,88.160000
gen=51,88.000000,90.000000,88.360000
gen=52,88.000000,90.000000,88.520000
gen=53,88.000000,90.000000,88.760000
gen=54,88.000000,90.000000,89.040000
gen=55,88.000000,90.000000,89.240000
gen=56,89.000000,90.000000,89.440000
gen=57,89.000000,90.000000,89.440000
gen=58,89.000000,90.000000,89.640000
gen=59,89.000000,90.000000,89.960000
gen=60,90.000000,90.000000,90.000000
gen=61,90.000000,90.000000,90.000000
gen=62,90.000000,90.000000,90.000000
gen=63,90.000000,90.000000,90.000000
gen=64,90.000000,90.000000,90.000000
gen=65,90.000000,90.000000,90.000000
gen=66,90.000000,90.000000,90.000000
gen=67,90.000000,90.000000,90.000000
gen=68,90.000000,90.000000,90.000000
gen=69,90.000000,90.000000,90.000000
gen=70,90.000000,90.000000,90.000000
gen=71,90.000000,90.000000,90.000000
gen=72,90.000000,90.000000,90.000000
gen=73,90.000000,90.000000,90.000000
gen=74,90.000000,90.000000,90.000000
gen=75,90.000000,90.000000,90.000000
gen=76,90.000000,90.000000,90.000000
gen=77,90.000000,90.000000,90.000000
gen=78,90.000000,90.000000,90.000000
gen=79,90.000000,90.000000,90.000000
gen=80,90.000000,90.000000,90.000000
gen=81,90.000000,90.000000,90.000000
gen=82,90.000000,90.000000,90.000000
gen=83,90.000000,90.000000,90.000000
gen=84,90.000000,90.000000,90.000000
gen=85,90.000000,90.000000,90.000000
gen=86,90.000000,90.000000,90.000000
gen=87,90.000000,90.000000,90.000000
gen=88,90.000000,90.000000,90.000000
gen=89,90.000000,90.000000,90.000000
gen=90,90.000000,90.000000,90.000000
gen=91,90.000000,90.000000,90.000000
gen=92,90.000000,90.000000,90.000000
gen=93,90.000000,90.000000,90.000000
gen=94,90.000000,90.000000,90.000000
gen=95,90.000000,90.000000,90.000000
gen=96,90.000000,90.000000,90.000000
gen=97,90.000000,90.000000,90.000000
gen=98,90.000000,90.000000,90.000000
gen=99,90.000000,90.000000,90.000000
trial=4
,min,max,avg
gen=0,43.000000,58.000000,52.180000
gen=1,47.000000,59.000000,54.200000
gen=2,48.000000,61.000000,55.920000
gen=3,51.000000,65.000000,57.960000
gen=4,55.000000,65.000000,59.600000
gen=5,55.000000,67.000000,60.480000
gen=6,58.000000,67.000000,61.960000
gen=7,60.000000,70.000000,63.780000
gen=8,62.000000,71.000000,65.220000
gen=9,62.000000,71.000000,66.740000
gen=10,63.000000,71.000000,67.580000
gen=11,66.000000,74.000000,68.340000
gen=12,66.000000,74.000000,69.240000
gen=13,66.000000,74.000000,69.940000
gen=14,69.000000,74.000000,70.900000
gen=15,70.000000,75.000000,71.740000
gen=16,71.000000,76.000000,72.720000
gen=17,71.000000,77.000000,73.540000
gen=18,72.000000,78.000000,74.440000
gen=19,73.000000,78.000000,75.440000
gen=20,73.000000,80.000000,76.340000
gen=21,74.000000,81.000000,77.040000
gen=22,74.000000,82.000000,77.460000
gen=23,76.000000,82.000000,78.300000
gen=24,77.000000,82.000000,78.940000
gen=25,77.000000,82.000000,79.540000
gen=26,77.000000,82.000000,80.500000
gen=27,78.000000,84.000000,81.320000
gen=28,80.000000,84.000000,82.020000
gen=29,82.000000,85.000000,82.520000
gen=30,82.000000,86.000000,83.100000
gen=31,82.000000,86.000000,83.440000
gen=32,82.000000,86.000000,83.840000
gen=33,83.000000,86.000000,84.280000
gen=34,83.000000,86.000000,84.480000
gen=35,84.000000,86.000000,84.760000
gen=36,84.000000,86.000000,84.940000
gen=37,84.000000,87.000000,85.060000
gen=38,84.000000,87.000000,85.380000
gen=39,84.000000,87.000000,85.760000
gen=40,85.000000,87.000000,85.960000
gen=41,85.000000,87.000000,86.140000
gen=42,85.000000,88.000000,86.320000
gen=43,86.000000,88.000000,86.680000
gen=44,86.000000,88.000000,86.920000
gen=45,86.000000,88.000000,87.220000
gen=46,87.000000,88.000000,87.500000
gen=47,87.000000,88.000000,87.680000
gen=48,87.000000,88.000000,87.880000
gen=49,88.000000,89.000000,88.080000
gen=50,88.000000,89.000000,88.200000
gen=51,88.000000,89.000000,88.380000
gen=52,88.000000,89.000000,88.660000
gen=53,88.000000,89.000000,88.900000
gen=54,88.000000,89.000000,88.920000
gen=55,89.000000,89.000000,89.000000
gen=56,89.000000,89.000000,89.000000
gen=57,89.000000,89.000000,89.000000
gen=58,89.000000,89.000000,89.000000
gen=59,89.000000,89.000000,89.000000
gen=60,89.000000,89.000000,89.000000
gen=61,89.000000,89.000000,89.000000
gen=62,89.000000,89.000000,89.000000
gen=63,89.000000,89.000000,89.000000
gen=64,89.000000,89.000000,89.000000
gen=65,89.000000,89.000000,89.000000
gen=66,89.000000,89.000000,89.000000
gen=67,89.000000,89.000000,89.000000
gen=68,89.000000,89.000000,89.000000
gen=69,89.000000,89.000000,89.000000
gen=70,89.000000,89.000000,89.000000
gen=71,89.000000,89.000000,89.000000
gen=72,89.000000,89.000000,89.000000
gen=73,89.000000,89.000000,89.000000
gen=74,89.000000,89.000000,89.000000
gen=75,89.000000,89.000000,89.000000
gen=76,89.000000,89.000000,89.000000
gen=77,89.000000,89.000000,89.000000
gen=78,89.000000,89.000000,89.000000
gen=79,89.000000,89.000000,89.000000
gen=80,89.000000,89.000000,89.000000
gen=81,89.000000,89.000000,89.000000
gen=82,89.000000,89.000000,89.000000
gen=83,89.000000,89.000000,89.000000
gen=84,89.000000,89.000000,89.000000
gen=85,89.000000,89.000000,89.000000
gen=86,89.000000,89.000000,89.000000
gen=87,89.000000,89.000000,89.000000
gen=88,89.000000,89.000000,89.000000
gen=89,89.000000,89.000000,89.000000
gen=90,89.000000,89.000000,89.000000
gen=91,89.000000,89.000000,89.000000
gen=92,89.000000,89.000000,89.000000
gen=93,89.000000,89.000000,89.000000
gen=94,89.000000,89.000000,89.000000
gen=95,89.000000,89.000000,89.000000
gen=96,89.000000,89.000000,89.000000
gen=97,89.000000,89.000000,89.000000
gen=98,89.000000,89.000000,89.000000
gen=99,89.000000,89.000000,89.000000
trial=5
,min,max,avg
gen=0,45.000000,65.000000,54.860000
gen=1,51.000000,67.000000,57.560000
gen=2,51.000000,67.000000,58.920000
gen=3,53.000000,68.000000,60.360000
gen=4,53.000000,70.000000,62.260000
gen=5,56.000000,71.000000,64.400000
gen=6,62.000000,73.000000,66.680000
gen=7,64.000000,75.000000,68.500000
gen=8,64.000000,78.000000,70.280000
gen=9,67.000000,80.000000,72.220000
gen=10,68.000000,80.000000,72.900000
gen=11,72.000000,80.000000,74.420000
gen=12,73.000000,80.000000,75.840000
gen=13,73.000000,80.000000,76.720000
gen=14,75.000000,81.000000,77.820000
gen=15,76.000000,82.000000,78.800000
gen=16,77.000000,82.000000,79.640000
gen=17,77.000000,82.000000,80.180000
gen=18,77.000000,84.000000,80.900000
gen=19,79.000000,84.000000,81.580000
gen=20,80.000000,84.000000,81.980000
gen=21,80.000000,85.000000,82.640000
gen=22,82.000000,85.000000,83.480000
gen=23,82.000000,86.000000,84.060000
gen=24,82.000000,86.000000,84.260000
gen=25,83.000000,87.000000,84.840000
gen=26,84.000000,88.000000,85.320000
gen=27,84.000000,88.000000,85.860000
gen=28,84.000000,88.000000,86.280000
gen=29,84.000000,88.000000,86.440000
gen=30,84.000000,88.000000,86.520000
gen=31,84.000000,89.000000,86.840000
gen=32,85.000000,89.000000,87.480000
gen=33,86.000000,89.000000,87.920000
gen=34,87.000000,89.000000,88.060000
gen=35,87.000000,89.000000,88.260000
gen=36,87.000000,89.000000,88.380000
gen=37,88.000000,90.000000,88.620000
